radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,9029,128129295,0,9.124146,45.478592,1000,2,1,1474438008,1477224974,0,"Via dei Piccolomini, 3, 20151 Milano MI, Italy"
LTE,222,1,10950,128272644,0,9.256533,45.453105,4022,40,1,1474484838,1523728453,0,"Str. C - C.A.M.M., 28, 20138 Milano MI, Italy"
LTE,222,1,24269,128410371,0,9.167404175,45.45661926,1000,2,1,1475965532,1481709839,0,"Via Andrea Solari, 7, 20144 Milano MI, Italy"
LTE,222,1,24302,128036102,0,9.131014,45.495231,6317,45,1,1476083127,1512186834,0,"Via Inverigo, 14, 20151 Milano MI, Italy"
LTE,222,1,24302,128036101,0,9.139104,45.490845,1000,38,1,1476083127,1512094952,0,"Viale Achille Papa, 30, 20159 Milano MI, Italy"
LTE,222,1,24304,128165378,0,9.07951355,45.47309875,1000,9,1,1478050898,1483285270,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24301,128305412,0,9.100296,45.514297,1000,15,1,1478582368,1483708604,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24272,128334340,0,9.18800354,45.50193787,1000,2,1,1479031533,1481844812,0,"Via Valassina, 45, 20159 Milano MI, Italy"
LTE,222,1,24269,128334852,0,9.14680481,45.48683167,1000,2,1,1480144028,1483399266,0,"Via Ignazio Gardella, 10, 20149 Milano MI, Italy"
LTE,222,1,24302,128353794,0,9.076735,45.466635,1000,39,1,1480237526,1494690795,0,"Via Budrio, 44, 20153 Milano MI, Italy"
LTE,222,1,24623,128256004,0,9.101486206,45.45936584,1000,2,1,1480237526,1481979671,0,"Via delle Forze Armate, 312, 20152 Milano MI, Italy"
LTE,222,1,24675,128320001,0,9.190750122,45.46348572,1000,9,1,1481303065,1491982232,0,"Piazza del Duomo, 6, 20122 Milano MI, Italy"
LTE,222,1,24301,128436483,0,9.128952026,45.51979065,1000,2,1,1481715733,1483524958,0,"Via Val Lagarina, 27, 20157 Milano MI, Italy"
LTE,222,1,24302,128357377,0,9.128952026,45.51979065,1000,3,1,1481715734,1482967460,0,"Via Val Lagarina, 27, 20157 Milano MI, Italy"
LTE,222,1,24270,128034820,0,9.150925,45.477905,1000,2,1,1482176736,1483285268,0,"Piazzale Arduino, 4, 20149 Milano MI, Italy"
LTE,222,1,24271,128036866,0,9.161911011,45.4964447,1000,4,1,1481939656,1483399266,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,24302,128243972,0,9.124832153,45.51704407,1000,44,1,1483748713,1492363484,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24302,128305412,0,9.100112915,45.51429749,1000,33,1,1483748713,1492363475,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24302,128153350,0,9.113789,45.515671,1000,24,1,1483748713,1492363484,0,"Zona Stephenson, Milano MI, Italy"
LTE,222,1,24302,128337154,0,9.132196,45.504392,2360,21,1,1484014199,1491317813,0,"Via Angelo Brunetti, 21, 20156 Milano MI, Italy"
LTE,222,1,24269,128257028,0,9.173344,45.487262,1000,7,1,1484100483,1523124900,0,"Via Cenisio, 1, 20154 Milano MI, Italy"
LTE,222,1,24269,128257027,0,9.168777466,45.48820496,1000,2,1,1484100483,1489311814,0,"Via Giuseppe Antonio Borgese, 1, 20154 Milano MI, Italy"
LTE,222,1,24269,128257025,0,9.174498,45.487032,1000,6,1,1484103363,1523124910,0,"Via Cenisio, 1, 20154 Milano MI, Italy"
LTE,222,1,24303,128161543,0,9.066626,45.499002,1000,19,1,1484162818,1506001571,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24303,128161545,0,9.066722,45.491232,1000,16,1,1484162818,1505891605,0,"Via Molinetto, 53, 20153 Milano MI, Italy"
LTE,222,1,24302,128243974,0,9.123035,45.51394,1000,40,1,1484014199,1492096318,0,"Via Giorgio Stephenson, 76, 20157 Milano MI, Italy"
LTE,222,1,24302,128337155,0,9.130173,45.505652,2556,35,1,1484014199,1492189264,0,"Via Sapri, 64, 20156 Milano MI, Italy"
LTE,222,1,24303,128161540,0,9.066614,45.497427,4267,40,1,1484388314,1506001494,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,10854,128322822,0,9.179621,45.484737,1000,12,1,1484395642,1523124833,0,"Porta Volta, Milano MI, Italy"
LTE,222,1,24302,128243969,0,9.125519,45.518005,1000,10,1,1484423123,1491579843,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24303,128161537,0,9.065323,45.503082,1000,6,1,1484623737,1491713296,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24272,128036872,0,9.161911011,45.4964447,1000,8,1,1484740891,1489326767,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,24304,128230661,0,9.102859497,45.51429749,1000,2,1,1485167264,1492363475,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24302,128340738,0,9.074443,45.461056,1000,13,1,1485201945,1492013768,0,"Via Seguro, 111, 20153 Milano MI, Italy"
LTE,222,1,24269,128020226,0,9.163284,45.482712,1000,10,1,1485310520,1487814380,0,"Via Angelo Poliziano, 1, 20154 Milano MI, Italy"
LTE,222,1,24304,128258563,0,9.11503,45.518228,1000,29,1,1485314522,1492170557,0,"Via Cristina Belgioioso, 14, 20157 Milano MI, Italy"
LTE,222,1,24302,128243201,0,9.102516,45.514298,1000,4,1,1485497238,1492363475,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24302,128153349,0,9.112149,45.512682,1000,17,1,1485497238,1492363484,0,"Via Giorgio Stephenson, 103, 20157 Milano MI, Italy"
LTE,222,1,24302,128243971,0,9.12367,45.514086,1000,13,1,1485504351,1491317813,0,"Via Giovanni Battista Grassi, 19, 20157 Milano MI, Italy"
LTE,222,1,24270,128269315,0,9.16165,45.45905,1000,5,1,1485683133,1493737802,0,"Via Giuseppe Dezza, 48, 20144 Milano MI, Italy"
LTE,222,1,24623,128046855,0,9.076517,45.463035,1000,8,1,1485683133,1505892021,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24621,128303881,0,9.11499,45.456619,1000,6,1,1485692714,1491956406,0,"Via Basilea, 6, 20152 Milano MI, Italy"
LTE,222,1,24269,128334340,0,9.18800354,45.50193787,1000,3,1,1486356472,1490750818,0,"Via Valassina, 45, 20159 Milano MI, Italy"
LTE,222,1,24269,128018945,0,9.168887,45.478976,1000,25,1,1486783400,1491982232,0,"Corso Sempione, 22, 20154 Milano MI, Italy"
LTE,222,1,24272,128036869,0,9.161911011,45.4964447,1000,11,1,1486893988,1491097604,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,24272,128278530,0,9.153671265,45.47309875,1000,3,1,1486945217,1489221434,0,"Piazzale Giulio Cesare, 9, 20145 Milano MI, Italy"
LTE,222,1,24272,128278533,0,9.153867,45.473099,1000,7,1,1486945217,1492189264,0,"Piazzale Giulio Cesare, 9, 20145 Milano MI, Italy"
LTE,222,1,24302,128291075,0,9.132843,45.504456,1000,6,1,1486366282,1489509029,0,"Via Angelo Brunetti, 21, 20156 Milano MI, Italy"
LTE,222,1,10948,128181512,0,9.253235,45.487175,1000,4,1,1487106645,1492156956,0,"Via Rombon (Sacro Cuore), 20134 Milano MI, Italy"
LTE,222,1,10950,128335362,0,9.252548,45.471725,1000,2,1,1487127591,1491307852,0,"Via Arcangelo Corelli, 36, 20134 Milano MI, Italy"
LTE,222,1,24691,128174337,0,9.155869,45.413773,1000,5,1,1487386444,1491373380,0,"Strada Provinciale 184, 20142 Milano MI, Italy"
LTE,222,1,24269,128225027,0,9.172897339,45.47584534,1000,2,1,1487550508,1487785632,0,"Via Agostino Bertani, 16, 20154 Milano MI, Italy"
LTE,222,1,24270,128020229,0,9.163456,45.482712,1000,40,1,1487644788,1492256378,0,"Via Angelo Poliziano, 1, 20154 Milano MI, Italy"
LTE,222,1,24270,128422915,0,9.16053772,45.47309875,1000,2,1,1488684439,1491310442,0,"Via Ippolito Nievo, 5, 20145 Milano MI, Italy"
LTE,222,1,24302,128410114,0,9.137192,45.479965,1000,2,1,1488696466,1491804943,0,"Via degli Odescalchi, 24, 20148 Milano MI, Italy"
LTE,222,1,24269,128463107,0,9.151497,45.511551,1000,12,1,1488792782,1491982232,0,"Via Dante Chiasserini, 68, 20157 Milano MI, Italy"
LTE,222,1,24302,128305409,0,9.100112915,45.51429749,1000,5,1,1489129531,1491878215,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24673,128378369,0,9.192467,45.470352,1000,4,1,1489134317,1491234301,0,"Montenapoleone, 20121 Milano MI, Italy"
LTE,222,1,24269,128178189,0,9.177017212,45.4662323,1000,4,1,1487509524,1491369034,0,"Via San Nicolao, 2, 20123 Milano MI, Italy"
LTE,222,1,10919,128273412,0,9.189376831,45.47309875,1000,2,1,1490443710,1490514716,0,"20121, Via Fatebenefratelli, 8, Milano MI, Italy"
LTE,222,1,24302,128319237,0,9.119751,45.49351,1000,7,1,1492132737,1506156858,0,"Via Adolfo Omodeo, 1, 20151 Milano MI, Italy"
LTE,222,1,24674,128003073,0,9.186703,45.46621,1000,5,1,1505479894,1523427168,0,"Via Bassano Porrone, 8, 20121 Milano MI, Italy"
LTE,222,1,24623,128055049,0,9.076685,45.461538,1000,14,1,1505891973,1505892163,0,"Via Seguro, 111, 20153 Milano MI, Italy"
LTE,222,1,24305,128161540,0,9.066411,45.497903,1000,3,1,1522043346,1537548735,0,"SPexSS11, 20153 Milano MI, Italy"
LTE,222,1,24305,128600065,0,9.0694,45.488836,3170,6,1,1533567817,1537548666,0,"Via Novara, 560, 20153 Milano MI, Italy"
LTE,222,1,24305,128600066,0,9.067182,45.498434,2093,2,1,1533567848,1537548623,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24305,128165378,0,9.078844,45.469815,1000,4,1,1537548534,1537548558,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24305,128353793,0,9.078327,45.475556,1000,2,1,1537548579,1537689553,0,"Via Gaetano Airaghi, 120, 20153 Milano MI, Italy"
